微信消息记录     导出时间:2016-05-22 00:33:26
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
ID                            时间                     联系人                   状态                类型                消息
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
2215573545@chatroom           2016-05-15 00:06:08      124-汪浪浪               接收                文本                【打卡】慢跑 31min 
2215573545@chatroom           2016-05-15 00:06:16      124-汪浪浪               接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-05-15 00:50:12      119-两米六的乔巴Pan      接收                文本                【打卡】keep 24min
2215573545@chatroom           2016-05-15 00:50:18      119-两米六的乔巴Pan      接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-05-15 08:45:18      110-江涛骇浪             接收                文本                在单位无事可做，好烦躁，好想出去跑会儿啊[抓狂][抓狂][抓狂]
2215573545@chatroom           2016-05-15 08:57:56      017-梁文彦               接收                文本                下午去跑一个半马
2215573545@chatroom           2016-05-15 09:01:13      110-江涛骇浪             接收                文本                不去，21公里太长，跑完了不舒服
2215573545@chatroom           2016-05-15 09:05:21      083-艾清                 接收                文本                [尴尬]他说他自己
2215573545@chatroom           2016-05-15 09:05:52      051-庄明浩               接收                文本                周末快乐#好好享受周末
2215573545@chatroom           2016-05-15 09:11:53      110-江涛骇浪             接收                文本                @艾清 [尴尬][尴尬]好尴尬
2215573545@chatroom           2016-05-15 09:12:17      110-江涛骇浪             接收                文本                想问下大家，跑半马和全马到底对身体好不好
2215573545@chatroom           2016-05-15 09:12:45      090-Mr.Xu                接收                文本                偶尔跑一次就行了
2215573545@chatroom           2016-05-15 09:12:50      090-Mr.Xu                接收                文本                又不是专业的
2215573545@chatroom           2016-05-15 09:13:17      090-Mr.Xu                接收                文本                超长距离的跑步对身体还是有伤害的
2215573545@chatroom           2016-05-15 09:14:46      017-梁文彦               接收                文本                又不是天天跑
2215573545@chatroom           2016-05-15 09:14:51      017-梁文彦               接收                文本                偶尔跑一个
2215573545@chatroom           2016-05-15 09:16:05      083-艾清                 接收                文本                如果你有长期运动经验 偶尔跑跑没啥  像有的人 十公里都跑不过 也不经常锻炼的 贸然去跑当然不好了[吓]
2215573545@chatroom           2016-05-15 09:17:04      135-tuberadio            接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-05-15 09:17:08      135-tuberadio            接收                文本                早餐
2215573545@chatroom           2016-05-15 09:17:43      110-江涛骇浪             接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-05-15 09:17:59      137-丸子                 接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-05-15 09:18:12      017-梁文彦               接收                文本                我现在一周四次力量训练，还有加个敏捷训练，跑步四次左右，然后周末来个15-20公里
