微信消息记录     导出时间:2016-11-06 19:17:52
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
ID                            时间                     联系人                   状态                类型                消息
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
2215573545@chatroom           2016-10-30 00:04:09      远新                     接收                文本                【打卡】keep 57mins
2215573545@chatroom           2016-10-30 00:04:10      远新                     接收                网页                
2215573545@chatroom           2016-10-30 00:41:02      ^O^claire                接收                文本                【请假】例假一星期
2215573545@chatroom           2016-10-30 00:46:00      欣欣Cynthi               接收                网页                
2215573545@chatroom           2016-10-30 02:35:29      斌                       接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 02:35:34      斌                       接收                文本                【打卡】keep 14 min
2215573545@chatroom           2016-10-30 06:45:48      Mr.Xu                    接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 07:07:25      Avenue                   接收                文本                【打卡】Keep+31mins
2215573545@chatroom           2016-10-30 07:07:26      Avenue                   接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 07:14:30                               接收                系统消息            "梁文彦" 撤回了一条消息
2215573545@chatroom           2016-10-30 07:14:53      梁文彦                   接收                文本                【打卡】越野跑五十公里
2215573545@chatroom           2016-10-30 07:14:57      梁文彦                   接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 07:15:41      塔雅                     接收                文本                大神
2215573545@chatroom           2016-10-30 08:09:45      单??单??             接收                文本                【打卡】Keep22分钟
2215573545@chatroom           2016-10-30 08:09:49      单??单??             接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 08:11:08      诗晨(?ω?)ノ           接收                文本                梁老师好强
2215573545@chatroom           2016-10-30 08:11:34      梁文彦                   接收                文本                跑废了，都是泥……
2215573545@chatroom           2016-10-30 08:11:58      塔雅                     接收                文本                有雨？
2215573545@chatroom           2016-10-30 08:24:38      梁文彦                   接收                文本                南京下了一周雨了
2215573545@chatroom           2016-10-30 08:24:44      梁文彦                   接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 08:24:45      梁文彦                   接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 08:24:54      梁文彦                   接收                文本                都是这种破路
2215573545@chatroom           2016-10-30 08:25:54      塔雅                     接收                文本                我的天呐，你可以去参加泥泞跑了
2215573545@chatroom           2016-10-30 08:27:11      梁文彦                   接收                文本                我们后来跑的比这个还差劲
2215573545@chatroom           2016-10-30 08:27:37      梁文彦                   接收                文本                被更多的人踩了，要不我怎么可能跑这么慢
2215573545@chatroom           2016-10-30 08:28:06      梁文彦                   接收                文本                要是上次咱们那个路线，我估计八个小时就跑完了
2215573545@chatroom           2016-10-30 08:28:26      塔雅                     接收                文本                不过你还真能坚持下来，已经很牛了
2215573545@chatroom           2016-10-30 08:28:35      梁文彦                   接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 08:28:45      梁文彦                   接收                文本                你都是用绳子下降的
2215573545@chatroom           2016-10-30 08:30:41      塔雅                     接收                文本                我觉得这个项目我可能玩不了[吓]
2215573545@chatroom           2016-10-30 08:31:16      塔雅                     接收                文本                赛方干嘛不更改日期啊
2215573545@chatroom           2016-10-30 08:35:38      kenzi                    接收                文本                【打卡】Keep35分钟
2215573545@chatroom           2016-10-30 08:42:00      梁文彦                   接收                文本                所以一生黑，再也不去了
2215573545@chatroom           2016-10-30 08:42:43      塔雅                     接收                文本                你去了没踩个点啊
2215573545@chatroom           2016-10-30 09:21:21      Mr.Xu                    接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 09:21:57      Mr.Xu                    接收                文本                【打卡】跑步105min
2215573545@chatroom           2016-10-30 09:24:03      梁文彦                   接收                文本                @塔雅?没法踩点，南方的赛道和北方差别很大，以后不去了
2215573545@chatroom           2016-10-30 09:28:15      Mr.Xu                    接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 09:28:16      Mr.Xu                    接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 09:28:17      Mr.Xu                    接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-10-30 09:28:18      Mr.Xu                    接收                文本                1:45
2215573545@chatroom           2016-10-30 09:28:40      JH2016JC                 接收                文本                [强]
2215573545@chatroom           2016-10-30 09:29:10      JH2016JC                 接收                文本                @Mr.Xu?飞起来了
2215573545@chatroom           2016-10-30 09:29:47      Mr.Xu                    接收                文本                比去年第一次提高二十分钟，比上个月慢五分
2215573545@chatroom           2016-10-30 09:30:09      JH2016JC                 接收                文本                不错了，很快了
2215573545@chatroom           2016-10-30 09:31:50      梁文彦                   接收                文本                我一小时跑四公里
2215573545@chatroom           2016-10-30 09:32:24      JH2016JC                 接收                文本                @梁文彦?你那路，4公里厉害了
